"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D4,D3,D2";"D_SOD-123";3;"1N4148";;;
2;"C13";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100p";;;
3;"R12,R11";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10K";;;
4;"R10,R6";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"680R";;;
5;"R9";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"270R";;;
6;"R8,R7,R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"2K2";;;
7;"R4,R3,R2,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"470R";;;
8;"C16";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"33p";;;
9;"C14,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";12;"100n";;;
10;"HOLE4,HOLE2,HOLE1,HOLE3";"MountingHole_3.5mm_Pad_Via";4;"MountingHole_3.5mm_Pad_Via";;;
11;"J7";"PinHeader_2x04_P2.54mm_Horizontal";1;"CABLE-READY";;;
12;"C12,C15";"C_Elec_6.3x5.4";2;"100u/16v";;;
13;"SW5";"SW_CuK_JS202011AQN_DPDT_Angled";1;"ABBA";;;
14;"IC2";"DIP-28_W15.24mm_Socket_LongPads";1;"W27E257";;;
15;"SW4";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"ZX_SEL";;;
16;"J4";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"KEMPSTON";;;
17;"SW3";"SW_DIP_SPSTx03_Piano_10.8x9.18mm_W7.62mm_P2.54mm";1;"ROMSEL_JOY";;;
18;"JP6";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"WDSEL";;;
19;"IC9";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS00";;;
20;"IC11";"DIP-24_W7.62mm_Socket_LongPads";1;"GAL22V10";;;
21;"IC5";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS06";;;
22;"IC6";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS126";;;
23;"IC10";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS27";;;
24;"SW2";"SW_PUSH_6mm";1;"NMI";;;
25;"SW1";"SW_PUSH_6mm";1;"RESET";;;
26;"IC7";"DIP-20_W7.62mm_Socket_LongPads";1;"74LS374";;;
27;"IC8";"DIP-16_W7.62mm_Socket_LongPads";1;"74LS175";;;
28;"IC4";"DIP-24_W7.62mm_Socket_LongPads";1;"GAL20V8B";;;
29;"IC3";"DIP-28_W15.24mm_Socket_LongPads";1;"6224/62256";;;
30;"IC1";"DIP-28_W15.24mm_Socket_LongPads";1;"WD1772";;;
31;"J1";"ZX_CONNECTOR_GENERIC_SORTED";1;"ZX_CONNECTOR_GENERIC_SORTED";;;
32;"J3";"PinHeader_2x13_P2.54mm_Vertical";1;"PARALLEL_CONNECTOR";;;
33;"J2";"PinHeader_2x17_P2.54mm_Vertical";1;"FDD_CONNECTOR";;;
34;"D1";"LED_D5.0mm";1;"LD_ACT";;;
35;"D5";"LED_D5.0mm";1;"LD_PWR";;;
36;"LOGO1";"OSHW-Logo_5.7x6mm_SilkScreen";1;"OSHW-Logo_5.7x6mm_SilkScreen";;;
37;"Y1";"Crystal_HC18-U_Vertical";1;"8.000Mhz";;;
